,Fx,Fy,Fz,Tx,Ty,Tz
0.1,-75.65688,-28.96196,63.30934,4.489046,-25.27473,1.956536
0.2,-60.68094,5.280425,2.148813,1.805666,-39.97533,-0.068957
0.3,-28.84674,8.227975,5.326225,2.465113,-31.8099,-3.592979
0.4,-51.4326,-20.40714,24.39534,4.797802,-36.41987,3.348261
0.5,-49.6186,-11.88628,27.00739,3.764662,-34.12787,0.513297
0.6,-36.39809,-12.59128,13.50276,3.56936,-33.63951,1.810969
0.7,-41.95026,-13.17105,22.43393,3.995559,-32.79962,2.054022
0.8,-41.20005,-15.44416,21.34365,4.613321,-32.65449,2.52998
0.9,-38.64336,-12.91711,22.38943,3.970874,-32.128,2.579423
1,-39.32032,-13.82105,22.54195,3.932779,-31.90449,2.6185
1.1,-40.44141,-13.5391,21.24459,3.910987,-32.58413,2.539113
1.2,-37.08441,-16.98649,25.54214,4.116903,-31.66174,3.537923
1.3,-39.55247,-17.00206,35.86749,4.211851,-28.05192,4.021933
1.4,-50.0952,-13.04072,29.24199,3.767173,-29.20448,2.923923
1.5,-32.896,-40.108,-54.3327,4.270522,-46.74181,10.0287
1.6,67.51005,-27.37927,62.37469,3.899972,-10.52087,3.449568
1.7,-14.12597,-35.78324,68.25874,5.426337,-21.42317,5.186074
1.8,-40.19,-36.66065,31.23829,5.459355,-29.71464,3.934899
1.9,-21.52328,-22.06079,38.63303,4.585221,-23.66789,1.174257
2,-35.36704,-15.96224,37.7302,3.221699,-25.31162,4.090912
2.1,-44.40864,-19.36705,18.69371,3.877608,-29.92504,3.368976
2.2,-42.79417,-7.092675,19.61161,2.080456,-29.95517,1.694259
2.3,-44.17474,-11.28514,17.93329,2.931076,-29.59092,3.486341
2.4,-45.41246,-9.185987,18.76177,2.735981,-30.44248,2.143306
2.5,-43.16985,-10.87959,17.42124,2.974173,-30.38145,2.501577
2.6,-45.4798,-10.4273,16.9403,3.346774,-29.79794,1.156964
2.7,69.91782,-36.27096,15.63346,4.111845,-8.539603,3.969969
2.8,-29.48255,-15.38724,-1.872875,4.006604,-38.4702,3.550286
2.9,-78.76492,-8.437787,63.11637,3.915422,-26.85747,2.504032
3,-64.07191,-0.9771125,-3.287462,2.288218,-41.77646,-1.156422
3.1,-19.19026,5.33575,-4.508425,1.337601,-33.05738,0.278059
3.2,-50.71065,-18.06784,26.27684,4.51178,-36.61934,3.500697
3.3,-49.56899,-9.980887,27.49999,3.671033,-33.79045,0.991582
3.4,-36.76661,-11.01531,13.90853,3.315715,-33.51291,1.532005
3.5,-40.9627,-14.01544,22.12868,4.081205,-32.56917,2.259212
3.6,-39.64812,-14.60734,21.77879,4.534627,-32.20114,2.523337
3.7,-38.8558,-13.4532,21.7056,4.073115,-32.10567,2.668708
3.8,-39.3878,-13.38618,22.22571,3.901448,-31.95148,2.561647
3.9,-41.09943,-13.01165,20.56621,3.790294,-32.47711,2.438321
4,-40.3355,-13.87794,30.85814,4.269028,-29.08599,2.34859
4.1,-47.06399,-14.70715,24.54408,4.018919,-31.22459,2.599946
4.2,-52.63707,-15.89524,15.69798,3.843474,-31.00906,2.479334
4.3,49.17979,-82.12093,56.82164,1.326762,-13.11729,-4.179627
4.4,-19.38736,-43.8364,57.17965,6.35631,-16.57133,4.433656
4.5,-63.97685,-34.23922,18.87703,4.712036,-31.18365,1.301403
4.6,-33.7662,8.962825,28.31216,-0.174206,-27.17821,4.05287
4.7,-37.73791,-5.940537,6.889675,3.378435,-30.41648,0.70077
4.8,-62.24945,-1.7318,3.111325,1.531128,-35.15386,1.293935
4.9,-48.59335,1.5727,7.052513,1.725256,-31.74768,0.389336
5,-53.16336,-6.533075,10.61368,2.206739,-31.97076,2.484471
