Time,Fx,Fy,Fz,Tx,Ty,Tz
0.1,-61.79655,7.763113,207.7973,2.605524,-27.53237,9.262078
0.2,-62.27531,8.023925,208.9573,2.632864,-27.71337,9.156484
0.3,-55.46083,14.59484,187.3114,1.881831,-29.48997,8.564599
0.4,-31.46342,29.47749,144.8244,0.307149,-28.77436,9.298143
0.5,-19.60034,22.96322,135.7453,0.935076,-26.39121,9.426018
0.6,-49.47085,9.17545,188.3093,3.353459,-25.9668,9.939237
0.7,-93.29037,0.480475,250.6158,4.830519,-27.23423,8.988827
0.8,-101.748,-2.722337,274.5741,4.917176,-26.21642,9.68396
0.9,-62.30004,4.251225,246.2616,3.974026,-22.72236,9.41093
1,-41.89569,17.5147,203.9634,2.141271,-22.32393,8.243721
1.1,-48.68164,9.566287,207.4538,3.527145,-23.7186,10.05803
1.2,-62.4251,7.394113,201.2523,3.860441,-25.46095,9.954904
1.3,-64.2109,13.64656,203.5586,2.841006,-25.99599,10.23982
1.4,-61.59976,18.64982,208.4526,2.24472,-25.00492,10.0092
1.5,-60.60297,19.46791,208.2503,1.755708,-24.72211,10.01196
1.6,-61.30896,15.8341,211.9395,1.644266,-23.00475,9.992529
1.7,-62.04885,11.1043,202.5043,2.421858,-26.23365,10.68199
1.8,-61.7505,9.933625,202.2351,2.670501,-25.65594,11.20356
1.9,-57.87931,16.32694,203.5999,1.949164,-23.82872,11.02976
2,-60.08625,10.63264,203.4182,2.499848,-24.79476,11.11688
2.1,-59.39465,15.53751,204.4603,2.048533,-24.85979,12.13692
2.2,-53.50236,4.897313,214.2653,2.882906,-21.66611,15.82886
2.3,-60.39216,-8.766687,202.0964,4.472808,-24.07907,16.70378
2.4,-55.57528,13.61823,210.3634,2.092799,-21.62163,15.35748
2.5,-49.91886,7.897425,200.7093,2.993805,-24.20713,16.39377
2.6,260.3311,-6.33765,77.18658,1.499523,-40.22304,15.27367
2.7,-49.71888,33.97061,175.9824,4.498452,-31.20209,10.94955
2.8,-96.25858,-140.2231,221.7079,22.67186,-37.55212,9.17841
2.9,-35.3513,-91.64286,143.4001,14.22508,-45.20461,49.33622
3,-42.36393,83.66315,111.2955,-8.148104,-60.53151,-5.388502
3.1,-42.3073,12.01017,179.0572,2.667336,-35.07181,12.94481
3.2,-54.16312,2.81965,162.281,2.62862,-43.17828,16.06081
3.3,-154.2664,-20.93707,169.5649,3.309475,-56.5436,19.42409
3.4,-121.897,-15.79377,172.6053,3.609069,-55.52402,16.32651
3.5,-141.9303,-25.6597,164.6273,7.098579,-60.0556,20.93296
3.6,-73.18585,9.709125,218.464,2.670119,-23.9353,8.74211
3.7,-56.6101,5.259912,190.3303,7.011805,-22.91958,15.91622
3.8,29.49716,0.7222625,196.4093,5.093157,-15.88425,11.31185
3.9,20.14469,44.08372,221.8668,-0.409557,-13.80954,8.472439
4,-50.36586,64.55135,242.1103,-2.083996,-20.57787,3.24132
4.1,-92.18725,45.14474,235.775,-0.389874,-25.32783,5.867567
4.2,-91.23083,5.79405,187.6512,3.712753,-26.98541,18.64137
