Time,Fx,Fy,Fz,Tx,Ty,Tz,
0.1,-67.45086,13.46246,208.8006,1.707092,-28.06752,9.975008, 
0.2,-67.88403,12.71571,208.0723,2.081227,-28.34956,9.734441, 
0.3,-67.85252,12.9532,207.7648,1.998272,-28.31607,9.882565, 
0.4,-67.41415,13.44505,207.9279,1.964166,-27.9648,9.939741, 
0.5,-68.27708,12.79825,208.2415,1.945373,-28.46323,9.775281, 
0.6,-68.14368,13.18097,208.2726,1.936604,-28.12754,9.882575, 
0.7,-54.50295,32.41406,155.4137,-0.284961,-29.77354,8.359385, 
0.8,-47.09727,31.97335,126.5092,-0.398463,-30.26594,9.799817, 
0.9,-56.28984,18.57136,163.6833,2.027302,-28.13751,10.06129, 
1,-81.23059,11.50461,242.7414,3.219752,-24.89443,8.820474, 
1.1,-83.20121,9.189013,279.8897,3.865188,-22.32477,7.564028, 
1.2,-78.28906,8.692375,259.508,3.567624,-23.22565,9.350265, 
1.3,-53.45417,9.064425,232.1005,3.457079,-22.12724,10.73116, 
1.4,-55.97527,20.52868,201.0934,2.119552,-24.83923,9.85619, 
1.5,-57.61657,12.30559,204.5446,3.401448,-24.70471,8.355996, 
1.6,-64.68121,13.58406,210.1934,3.477447,-25.18273,11.53517, 
1.7,-67.34146,11.94136,205.9043,3.099611,-27.12151,10.79692, 
1.8,-67.87354,24.75802,207.0031,1.404047,-25.584,9.498415, 
1.9,-66.9094,19.48164,205.353,1.6713,-25.80142,10.7236, 
2,-69.02042,17.61784,207.3789,1.808144,-26.16628,10.77821, 
2.1,-64.75147,18.49257,206.0415,1.703972,-24.75822,10.81911, 
2.2,-56.34127,10.82591,203.4019,2.658227,-25.54073,16.25695, 
2.3,-67.32085,22.54404,201.0659,1.352703,-26.98741,11.87381, 
2.4,-65.82051,23.18497,199.6817,1.141834,-26.67288,11.50912, 
2.5,-63.36225,20.19259,202.1562,1.409886,-25.10816,12.11246, 
2.6,-68.55186,5.99145,210.2764,3.039313,-24.36416,15.8214, 
2.7,-72.34058,24.43591,194.0963,0.698598,-27.57986,10.68898, 
2.8,-65.63065,24.32681,204.2843,0.858147,-25.85005,10.67028, 
2.9,-53.13617,15.01239,199.6563,1.702683,-26.27249,12.67395, 
3,-25.47215,-24.66009,183.9171,2.257462,-26.82031,16.10935, 
3.1,-137.3443,-145.8031,182.3258,53.3223,-55.71036,36.07338, 
3.2,-87.21368,31.82731,303.3684,3.111709,11.01744,23.76616, 
3.3,-100.9425,-234.3169,220.7397,35.8826,-22.22063,68.57701, 
3.4,-110.9974,99.41508,125.7996,-6.233043,-61.5999,-8.50986, 
3.5,-70.76314,33.85783,176.3529,0.805055,-42.08293,9.579767, 
3.6,-117.011,-35.94324,195.2736,8.053276,-40.11314,22.84214, 
3.7,-137.8939,-22.71045,146.7088,7.260241,-59.45893,12.14312, 
3.8,-149.3826,-14.97633,184.9161,5.495164,-49.48046,12.1615, 
3.9,-113.7971,8.402363,215.1762,3.305367,-33.8746,12.16077, 
4,96.54382,21.87462,267.1122,-9.447947,5.224117,12.50008, 
4.1,22.80294,-1.917375,152.5023,2.984078,-25.51239,8.724815, 
4.2,26.57351,10.74756,209.8374,3.271174,-14.95642,15.57105, 
4.3,-16.68511,38.59244,237.72,1.039069,-16.48944,11.60432, 
4.4,-83.54006,77.84073,230.1388,-3.283054,-26.44144,5.397317, 
4.5,-118.7946,34.22776,204.3971,0.647977,-30.32634,6.399747, 
4.6,-93.60593,16.39076,197.1616,1.743674,-28.96906,10.72194, 
4.7,-48.55246,20.38106,215.9861,1.309925,-21.84437,10.74369, 
4.8,-64.28385,14.79138,205.7946,2.29296,-25.02271,10.55887, 
4.9,-63.83296,9.219125,215.5192,3.257105,-21.56453,14.11111, 
5,-68.71227,15.66212,204.7056,2.871139,-25.28974,11.95362, 
5.1,-72.50869,19.82697,198.2282,2.147784,-27.21534,11.16593, 
5.2,-83.0638,24.3854,198.7444,1.719906,-26.70038,11.83996, 
5.3,-87.00935,19.24618,194.6558,2.004146,-26.80826,11.84999, 
5.4,-73.38969,18.94576,206.7149,2.418758,-24.65539,12.10677, 
5.5,-67.3772,5.776688,207.5447,3.153856,-23.97677,11.54944, 
5.6,-124.746,0.10935,187.7723,0.168039,-36.6778,22.52365, 
5.7,-238.2195,-257.6668,193.7493,54.7072,-110.958,141.3907, 
5.8,18.83391,90.41788,220.4294,4.283004,-13.32721,23.10133, 
5.9,-60.22527,-39.77285,187.7789,10.8871,-19.32928,32.95379, 
6,-79.58116,-23.63479,148.2799,6.65937,-48.93391,24.97998, 
6.1,-68.54623,18.91526,162.9962,1.934405,-41.18895,15.01643, 
6.2,-104.2919,-45.37955,175.541,9.47431,-44.04417,23.02828, 
6.3,-130.5209,-64.2163,157.0247,12.33897,-52.04944,28.51908, 
6.4,-148.2408,-30.80721,209.7465,9.739282,-37.44974,17.38647, 
6.5,-188.1434,-115.9398,96.66986,20.14757,6.008039,17.31632, 
6.6,-53.32594,31.80185,229.7956,-1.333772,-19.67597,10.24004, 
6.7,-8.327038,-16.01505,296.4033,5.383136,-10.89787,15.56478, 
6.8,-45.08548,4.692812,273.2705,2.895821,-17.07514,11.84218, 
6.9,-93.18869,17.65948,241.1783,1.945298,-26.19577,9.212146, 
7,-111.1555,22.67114,243.8353,2.422974,-27.8132,7.087262, 
7.1,-127.3867,62.94806,209.1958,-1.623882,-32.27648,5.664942, 
7.2,-98.61676,69.0943,228.6355,-2.934171,-26.7816,6.549677, 
7.3,34.89845,39.84319,311.5143,1.152701,-8.975631,7.73661, 
7.4,-53.85049,13.0009,304.3795,5.755158,-16.9797,10.61922, 
7.5,-112.8679,9.616725,289.0047,6.227534,-22.9232,10.6561, 
7.6,-230.1807,21.62863,243.455,6.777179,-38.81012,10.37699, 
7.7,-143.4248,17.26048,269.7729,7.864338,-25.1037,13.6754, 
7.8,-126.8701,15.35618,282.802,8.046873,-24.53052,11.42505, 
